order_id,user_id,pair_id,quantity,price,type,closed
5,2, 1, 0, 0.002770470335360967, buy, closed
9,2, 2, 0, 0.007546355779639813, sell, closed
10,1, 2, 0, 0.007546355779639813, sell, closed
12,2, 2, 0, 0.006746609444548871, buy, closed
15,1, 2, 0, 0.00636404128290124, sell, closed
25,2, 3, 0, 0.0027387245225638573, sell, closed
26,2, 3, 0, 0.0027387245225638573, sell, closed
28,1, 1, 0, 0.00838601841645813, sell, closed
32,1, 1, 0, 0.009140795737928309, sell, closed
34,2, 2, 0, 0.008769561408445009, sell, closed
35,2, 2, 0, 0.008769561408445009, sell, closed
41,1, 1, 0, 0.005566699844911657, sell, closed
42,2, 1, 0, 0.005566699844911657, sell, closed
43,1, 1, 0, 0.005566699844911657, sell, closed
45,1, 3, 94.79378256245539, 0.002040454676157248, buy, 0
47,2, 1, 0, 0.008516253134899008, sell, closed
52,1, 3, 49.35390764632688, 0.009242947748421902, buy, 0
53,1, 1, 0, 0.0013371347650483532, sell, closed
55,1, 2, 90.3827077723217, 0.002140310169411907, sell, 0
57,2, 2, 0, 0.001213278834162565, sell, closed
58,1, 2, 0, 0.001213278834162565, sell, closed
61,1, 1, 0, 0.0032684561231986395, sell, closed
64,2, 3, 0, 0.0072216879432676915, buy, closed
65,2, 3, 0, 0.005168472982689726, buy, closed
66,1, 3, 24.49580413399859, 0.009696084724909557, sell, 0
69,1, 3, 89.79991613991174, 0.002469185659292387, sell, 0
70,2, 2, 0, 0.001975336767317735, sell, closed
73,1, 3, 60.096661138254575, 0.008573182076471371, buy, 0
74,2, 1, 0, 0.0032684561231986395, buy, closed
76,2, 1, 0, 0.003937434812327918, sell, closed
77,2, 1, 0, 0.0031181306590023156, sell, closed
82,2, 1, 0, 0.0017318401478640835, buy, closed
83,2, 1, 0, 0.0014061175762690888, buy, closed
85,1, 2, 35.12811089688358, 0.0055851858345394665, sell, 0
87,1, 3, 18.57886109988639, 0.002947091449232315, sell, 0
88,1, 2, 23.105015561303357, 0.007310453222862861, sell, 0
91,1, 2, 73.31084029552619, 0.003843092008071527, sell, 0
92,2, 2, 0, 0.0033893727771355377, sell, closed
94,2, 2, 0, 0.001213278834162565, sell, closed
96,1, 1, 44.1100344325515, 0.005671653021082117, sell, 0
97,1, 1, 34.920866350451384, 0.0032664963875935985, sell, 0
98,2, 2, 0, 0.0017066540922730587, sell, closed
99,1, 2, 12.100467661108532, 0.00711576669931442, buy, 0
100,1, 1, 94.19709614071166, 0.009338213016732926, sell, 0
102,1, 1, 61.54718283184724, 0.0022825497681788947, sell, 0
103,1, 2, 88.54031227780423, 0.007081638330300638, sell, 0
104,1, 1, 20.645190020194416, 0.009664542777553815, buy, 0
105,1, 2, 59.45446409317699, 0.003038324729406284, buy, 0
106,1, 1, 56.473623539888166, 0.009937047473017518, sell, 0
